,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name
241,59.147,ml,"Blanco tequila, Milagro",Tequila,6,42,No Problem w/ This 1
242,14.78675,ml,Aperol,Liqueur,10,42,No Problem w/ This 1
243,14.78675,ml,Strawberry/Raspberry shrub,General,0,42,No Problem w/ This 1
244,7.393375,ml,Lime juice,General,0,42,No Problem w/ This 1
245,4,dr,"Bitters, Scrappy's Lime",General,0,42,No Problem w/ This 1
246,44.36025,ml,Gin,Gin,1,43,North of Sunset
247,29.5735,ml,Dry vermouth,Wine,8,43,North of Sunset
248,7.393375,ml,Strega,Liqueur,10,43,North of Sunset
249,7.393375,ml,Raspberry syrup,General,0,43,North of Sunset
250,1,bsp,Maraschino Liqueur,Liqueur,10,43,North of Sunset
251,1,twst,Lemon peel,Garnish,11,43,North of Sunset
252,39.43133333333333,ml,"Aquavit, Linie",Spirits,21,44,Norwegian Plum
253,14.78675,ml,"Bitters, Fee Brothers Plum",General,0,44,Norwegian Plum
254,22.180125,ml,Lemon juice,General,0,44,Norwegian Plum
255,14.78675,ml,Simple syrup (1:1),General,0,44,Norwegian Plum
256,36.966875,ml,Gin,Gin,1,45,Not Even the Rain
257,36.966875,ml,Fino sherry (or Manzanilla),Wine,8,45,Not Even the Rain
258,7.393375,ml,Bénédictine,General,0,45,Not Even the Rain
259,7.393375,ml,Apricot liqueur,Liqueur,10,45,Not Even the Rain
260,1,ds,Orange bitters,General,0,45,Not Even the Rain
261,1,twst,Orange peel,Garnish,11,45,Not Even the Rain
262,22.180125,ml,"Rye, Rittenhouse",Whisky,4,46,Notte Bene Sour
263,22.180125,ml,Spanish brandy,Brandy,5,46,Notte Bene Sour
264,22.180125,ml,Grapefruit juice,General,0,46,Notte Bene Sour
265,14.78675,ml,Del Capo,Liqueur,10,46,Notte Bene Sour
266,14.78675,ml,CioCiaro,Liqueur,10,46,Notte Bene Sour
267,1,twst,Grapefruit peel,Garnish,11,46,Notte Bene Sour
268,59.147,ml,Spanish brandy,Brandy,5,47,Notte Bene
269,14.78675,ml,CioCiaro,Liqueur,10,47,Notte Bene
270,14.78675,ml,Del Capo,Liqueur,10,47,Notte Bene
271,1,twst,Lemon peel,General,0,47,Notte Bene
272,1,,Brandied cherry,General,0,47,Notte Bene
273,59.147,ml,Bourbon,Whisky,4,48,Le Nouveau Moureaux
274,14.78675,ml,Suze,Liqueur,10,48,Le Nouveau Moureaux
