,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name,url
127,15,ml,Patrón Reposado tequila,Tequila,6,3019,Los Pacaminos Margarita,https://www.diffordsguide.com/cocktails/recipe/16721/los-pacaminos-margarita
128,15,ml,Patrón Silver blanco tequila,Tequila,6,3019,Los Pacaminos Margarita,https://www.diffordsguide.com/cocktails/recipe/16721/los-pacaminos-margarita
129,10,ml,Del Maguey Vida Clásico mezcal,Mezcal,20,3019,Los Pacaminos Margarita,https://www.diffordsguide.com/cocktails/recipe/16721/los-pacaminos-margarita
130,10,ml,De Kuyper Triple Sec (40%),Liqueur,10,3019,Los Pacaminos Margarita,https://www.diffordsguide.com/cocktails/recipe/16721/los-pacaminos-margarita
131,10,ml,Lime juice,General,0,3019,Los Pacaminos Margarita,https://www.diffordsguide.com/cocktails/recipe/16721/los-pacaminos-margarita
132,7.5,ml,Lemon juice,General,0,3019,Los Pacaminos Margarita,https://www.diffordsguide.com/cocktails/recipe/16721/los-pacaminos-margarita
133,7.5,ml,Nixta liqueur,Liqueur,10,3019,Los Pacaminos Margarita,https://www.diffordsguide.com/cocktails/recipe/16721/los-pacaminos-margarita
134,5,ml,Abasolo Mexican Corn Whisky,Whisky,4,3019,Los Pacaminos Margarita,https://www.diffordsguide.com/cocktails/recipe/16721/los-pacaminos-margarita
135,5,ml,Agave syrup,General,0,3019,Los Pacaminos Margarita,https://www.diffordsguide.com/cocktails/recipe/16721/los-pacaminos-margarita
136,5,drop,Difford's Margarita Bitters,General,0,3019,Los Pacaminos Margarita,https://www.diffordsguide.com/cocktails/recipe/16721/los-pacaminos-margarita
137,,,Dehydrated lime slice wheel,Garnish,11,3019,Los Pacaminos Margarita,https://www.diffordsguide.com/cocktails/recipe/16721/los-pacaminos-margarita
138,,,toasted corn,Garnish,11,3019,Los Pacaminos Margarita,https://www.diffordsguide.com/cocktails/recipe/16721/los-pacaminos-margarita
139,37.5,ml,Rutte Dry Gin,Gin,1,3020,Barbara West,https://www.diffordsguide.com/cocktails/recipe/168/barbara-west
140,37.5,ml,Amontillado sherry,Wine,8,3020,Barbara West,https://www.diffordsguide.com/cocktails/recipe/168/barbara-west
141,15,ml,Lemon juice,General,0,3020,Barbara West,https://www.diffordsguide.com/cocktails/recipe/168/barbara-west
142,10,ml,Sugar syrup (rich),General,0,3020,Barbara West,https://www.diffordsguide.com/cocktails/recipe/168/barbara-west
