,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name,ingredient_id,db_cocktail_ingredient_name,db_ingredient_name
3113,29.60,ml,"Rye, Redemption",Whisky,4,554,Black Rye,1598,"rye, redemption","rye, redemption"
3114,7.40,ml,Maple syrup (pure),General,0,554,Black Rye,1160,maple syrup (pure),maple syrup
3115,6,dr,"Bitters, Bittercube Blackstrap",General,0,554,Black Rye,208,"bitters, bittercube blackstrap",bitters
3116,88.70,ml,Club Soda,General,0,554,Black Rye,525,club soda,club soda
3117,1,spg,Cinnamon Stick,General,0,554,Black Rye,508,cinnamon stick,cinnamon stick
3118,59.10,ml,"Scotch, Auchentoshan 3 Wood",Whisky,4,555,Black Scott,1626,"scotch, auchentoshan 3 wood","scotch, auchentoshan 3 wood"
3119,37.00,ml,"Root liqueur, Art in the Age",Liqueur,10,555,Black Scott,1525,"root liqueur, art in the age","root liqueur, art in the age"
3120,1⁄2,bsp,Grade A dark amber maple syrup,General,0,555,Black Scott,1160,grade a dark amber maple syrup,maple syrup
3121,2,ds,"Blackstrap Bitters, Bittercube",General,0,555,Black Scott,269,"blackstrap bitters, bittercube",blackstrap bitters
3122,29.60,ml,Club Soda,General,0,555,Black Scott,525,club soda,club soda
3123,1,spg,Cinnamon Stick,General,0,555,Black Scott,508,cinnamon stick,cinnamon stick
3124,29.60,ml,"Bermuda rum, Gosling's Black Seal",Rum,2,556,Black Stacia,190,"bermuda rum, gosling's black seal","bermuda rum, gosling's black seal"
3125,14.80,ml,"Virgin Islands Rum, Cruzan Blackstrap",Rum,2,556,Black Stacia,1825,"virgin islands rum, cruzan blackstrap","virgin islands rum, cruzan blackstrap"
3126,14.80,ml,Averna,Liqueur,10,556,Black Stacia,137,averna,averna
3127,14.80,ml,Sweet vermouth,Wine,8,556,Black Stacia,1729,sweet vermouth,sweet vermouth
3128,7.40,ml,"Falernum, Velvet Falernum",Liqueur,10,556,Black Stacia,747,"falernum, velvet falernum","falernum, velvet falernum"
3129,2,ds,"Bitters, Angostura",General,0,556,Black Stacia,73,"bitters, angostura",bitters
3130,29.60,ml,"Aromatized wine, Cocchi Vermouth di Torino",Wine,8,557,The Black Stallion Sets Sail,128,"aromatized wine, cocchi vermouth di torino","aromatized wine, cocchi vermouth di torino"
3131,14.80,ml,Fernet Branca,Spirits,21,557,The Black Stallion Sets Sail,755,fernet branca,fernet branca
3132,14.80,ml,Campari,Liqueur,10,557,The Black Stallion Sets Sail,395,campari,campari
3133,29.60,ml,"Virgin Islands Rum, Cruzan Blackstrap",Rum,2,557,The Black Stallion Sets Sail,1825,"virgin islands rum, cruzan blackstrap","virgin islands rum, cruzan blackstrap"
3134,3,dr,Salt Solution (1:4),General,0,557,The Black Stallion Sets Sail,1616,salt solution (1:4),salt solution
3135,1,twst,Orange peel,Garnish,11,557,The Black Stallion Sets Sail,1290,orange peel,orange peel
3136,73.90,ml,Sake,Spirits,21,558,Black Sakura,1609,sake,sake
3137,29.60,ml,"Cherry Liqueur, Cherry Heering",Liqueur,10,558,Black Sakura,459,"cherry liqueur, cherry heering","cherry liqueur, cherry heering"
3138,14.80,ml,Lemon juice,General,0,558,Black Sakura,1085,lemon juice,lemon juice
3139,2,ds,"Bitters, Fee Brothers Black Walnut",General,0,558,Black Sakura,260,"bitters, fee brothers black walnut",bitters
3140,39.40,ml,"Speyside Scotch, Glenfiddich (12 Year)",Whisky,4,559,Black Stag,1688,"speyside scotch, glenfiddich (12 year)","speyside scotch, glenfiddich (12 year)"
3141,14.80,ml,Fino sherry,Wine,8,559,Black Stag,763,fino sherry,fino sherry
3142,9.90,ml,Simple syrup (Pear Syrup),General,0,559,Black Stag,1656,simple syrup (pear syrup),simple syrup
3143,59.10,ml,Scotch,Whisky,4,560,The Black Watch,1622,scotch,scotch
